,Time step,Prey number,Predator number
0,0,25,3
1,1,26,2
2,2,24,2
3,3,25,3
4,4,25,3
5,5,27,3
6,6,25,5
7,7,23,5
8,8,22,7
9,9,21,7
10,10,21,7
