0 150 150
1 159 89
2 169 86
3 184 85
4 180 86
5 190 82
6 198 80
7 213 76
8 224 81
9 243 83
10 245 84
11 253 83
12 272 83
13 294 81
14 310 84
15 325 80
16 340 79
17 358 80
18 368 82
19 395 78
20 416 80
21 422 84
22 457 85
23 484 87
24 515 87
25 535 91
26 544 97
27 570 99
28 595 104
29 636 112
30 653 113
31 660 113
32 691 121
33 719 124
34 736 133
35 748 141
36 768 145
37 779 148
38 788 160
39 817 166
40 837 174
41 876 187
42 897 196
43 920 204
44 936 214
45 942 233
46 938 248
47 928 260
48 931 269
49 957 283
50 972 284
51 984 292
52 987 315
53 976 331
54 976 352
55 962 375
56 957 381
57 952 394
58 960 405
59 965 419
60 976 430
61 988 435
62 1014 447
63 1018 458
64 1013 474
65 1019 490
66 990 505
67 994 516
68 990 525
69 973 538
70 954 550
71 959 569
72 912 596
73 866 607
74 818 622
75 773 643
76 736 659
77 691 682
78 660 699
79 620 703
80 570 717
81 517 723
82 467 723
83 423 730
84 388 735
85 344 753
86 301 750
87 256 757
88 233 755
89 199 758
90 171 750
91 150 736
92 143 724
93 140 717
94 131 704
95 123 686
96 112 681
97 104 670
98 96 653
99 85 645
100 74 637
101 63 625
102 62 615
103 57 603
104 52 594
105 47 584
106 39 577
107 39 568
108 32 559
109 34 546
110 34 535
111 34 524
112 29 513
113 28 504
114 24 498
115 20 487
116 21 475
117 19 468
118 19 460
119 16 454
120 16 447
121 15 441
122 13 432
123 11 426
124 11 423
125 9 413
126 8 400
127 6 392
128 8 386
129 11 380
130 11 375
131 9 366
132 7 362
133 6 355
134 8 350
135 7 345
136 9 343
137 9 336
138 10 330
139 9 325
140 7 320
141 7 317
142 7 314
143 8 303
144 8 295
145 9 288
146 10 281
147 9 274
148 10 269
149 10 266
150 7 256
151 8 252
152 9 247
153 10 242
154 10 238
155 10 233
156 9 231
157 9 226
158 10 221
159 10 218
160 9 217
161 11 216
162 12 215
163 13 215
164 13 212
165 15 209
166 15 208
167 13 202
168 14 200
169 16 195
170 16 192
171 16 192
172 16 188
173 16 186
174 17 186
175 19 182
176 19 179
177 21 178
178 19 172
179 21 170
180 22 168
181 23 166
182 23 163
183 26 158
184 27 153
185 29 147
186 29 148
187 31 145
188 31 144
189 32 142
190 37 138
191 36 135
192 37 129
193 38 129
194 42 128
195 41 126
196 37 128
197 38 125
198 38 121
199 40 117
200 32 117
201 35 115
202 38 111
203 42 109
204 40 109
205 37 106
206 36 101
207 34 102
208 35 100
209 37 98
210 39 96
211 40 96
212 43 93
213 46 93
214 49 92
215 53 90
216 54 88
217 55 86
218 58 83
219 56 83
220 60 81
221 64 80
222 65 80
223 70 79
224 75 74
225 77 74
226 87 70
227 93 70
228 96 70
229 101 69
230 103 69
231 108 68
232 114 67
233 126 68
234 132 69
235 133 67
236 130 67
237 134 67
238 136 66
239 139 66
240 147 66
241 152 65
242 160 66
243 165 66
244 170 68
245 182 68
246 193 66
247 206 65
248 218 67
249 231 67
250 248 68
251 256 70
252 260 70
253 266 72
254 283 73
255 298 78
256 309 77
257 316 82
258 324 87
259 351 88
